연도별,유형,화 재,구 조,구 급,대민출동 및 기타,유관기관 이첩,안내 및 민원,장난전화,무응답,오접속,기 타 
2011,유선,61504,137825,747385,317208,48941,733607,8301,309378,2643278,1182085
2011,무선,160109,221549,1292905,281186,77290,1752950,11996,1628968,7783721,2401061
2012,유선,61905,162541,775063,218646,37245,1117417,6863,626853,1960473,1011228
2012,무선,160905,300521,1358292,227808,83532,1906533,11054,2117829,5434885,1782721
2013,유선,51847,132055,734678,271719,39297,1305252,3800,558732,1150015,510845
2013,무선,155010,301058,1449000,277562,88071,2205184,3398,1200070,2629413,721192
2014,유선,54003,131932,664883,346849,28086,1043680,1634,483034,736029,446910
2014,무선,187580,341507,1706341,287005,83016,2189825,1598,1118852,1363230,625634
2015,유선,51416,115197,636413,336634,15032,835236,845,313711,388098,298947
2015,무선,191944,361668,1825727,247870,61715,2278975,1422,917342,788012,749262
2016,유선,40323,103896,466356,310251,13092,556351,622,246885,139667,248629
2016,무선,194475,490960,2103004,270275,113991,2659969,1472,1347383,735291,684851
2017,유선,48962,100046,432855,356344,11757,544691,657,346381,180277,307572
2017,무선,274553,505400,2234678,315911,117947,2763069,820,1552390,765138,691338
2018,유선,60605,88603,370942,354792,11040,558361,272,274893,146962,281925
2018,무선,274940,500892,2354344,317084,119596,2778050,481,1473293,726086,691360
2019,유선,66167,91802,312193,373462,7670,553096,103,226090,117762,236739
2019,무선,274590,544194,2372582,340335,97320,2775071,304,1774666,773972,629055
2020,유선,76373,83514,258428,417630,5997,602180,224,209317,120084,250616
2020,무선,252939,504580,2260522,380684,81618,2669843,441,1676702,811437,611430