년도,연령별,본부구분,이송환자수,,
2020,"10세
미만",중앙,0,,
2020,10대,중앙,0,,
2020,20대,중앙,2,,
2020,30대,중앙,1,,
2020,40대,중앙,5,,
2020,50대,중앙,15,,
2020,60대,중앙,12,,
2020,70대,중앙,5,,
2020,80대,중앙,3,,
2020,90대,중앙,0,,
2020,"100세
이상",중앙,0,,
2020,"나이
미입력",중앙,0,,
2020,"10세
미만",서울,7864,,
2020,10대,서울,10790,,
2020,20대,서울,30673,,
2020,30대,서울,25997,,
2020,40대,서울,27908,,
2020,50대,서울,41132,,
2020,60대,서울,44705,,
2020,70대,서울,44994,,
2020,80대,서울,35274,,
2020,90대,서울,6915,,
2020,"100세
이상",서울,215,,
2020,"나이
미입력",서울,0,,
2020,"10세
미만",부산,2378,,
2020,10대,부산,3517,,
2020,20대,부산,7606,,
2020,30대,부산,7157,,
2020,40대,부산,9538,,
2020,50대,부산,14860,,
2020,60대,부산,18782,,
2020,70대,부산,18356,,
2020,80대,부산,13408,,
2020,90대,부산,2124,,
2020,"100세
이상",부산,54,,
2020,"나이
미입력",부산,0,,
2020,"10세
미만",대구,2234,,
2020,10대,대구,2834,,
2020,20대,대구,5892,,
2020,30대,대구,5497,,
2020,40대,대구,7605,,
2020,50대,대구,11816,,
2020,60대,대구,12472,,
2020,70대,대구,12168,,
2020,80대,대구,10169,,
2020,90대,대구,1578,,
2020,"100세
이상",대구,34,,
2020,"나이
미입력",대구,0,,
2020,"10세
미만",인천,3139,,
2020,10대,인천,3569,,
2020,20대,인천,8346,,
2020,30대,인천,8467,,
2020,40대,인천,10531,,
2020,50대,인천,15586,,
2020,60대,인천,14839,,
2020,70대,인천,13364,,
2020,80대,인천,11422,,
2020,90대,인천,2555,,
2020,"100세
이상",인천,74,,
2020,"나이
미입력",인천,0,,
2020,"10세
미만",광주,1277,,
2020,10대,광주,2375,,
2020,20대,광주,4096,,
2020,30대,광주,3668,,
2020,40대,광주,4948,,
2020,50대,광주,7456,,
2020,60대,광주,7007,,
2020,70대,광주,6615,,
2020,80대,광주,5100,,
2020,90대,광주,980,,
2020,"100세
이상",광주,24,,
2020,"나이
미입력",광주,0,,
2020,"10세
미만",대전,1262,,
2020,10대,대전,1725,,
2020,20대,대전,4238,,
2020,30대,대전,3645,,
2020,40대,대전,4761,,
2020,50대,대전,7264,,
2020,60대,대전,7531,,
2020,70대,대전,7004,,
2020,80대,대전,6104,,
2020,90대,대전,1100,,
2020,"100세
이상",대전,35,,
2020,"나이
미입력",대전,0,,
2020,"10세
미만",울산,1029,,
2020,10대,울산,1311,,
2020,20대,울산,2325,,
2020,30대,울산,2604,,
2020,40대,울산,3748,,
2020,50대,울산,5429,,
2020,60대,울산,5125,,
2020,70대,울산,3939,,
2020,80대,울산,2609,,
2020,90대,울산,479,,
2020,"100세
이상",울산,11,,
2020,"나이
미입력",울산,0,,
2020,"10세
미만",세종,568,,
2020,10대,세종,525,,
2020,20대,세종,874,,
2020,30대,세종,1129,,
2020,40대,세종,1338,,
2020,50대,세종,1397,,
2020,60대,세종,1277,,
2020,70대,세종,1044,,
2020,80대,세종,848,,
2020,90대,세종,182,,
2020,"100세
이상",세종,3,,
2020,"나이
미입력",세종,6,,
2020,"10세
미만",경기,13784,,
2020,10대,경기,15758,,
2020,20대,경기,32210,,
2020,30대,경기,34108,,
2020,40대,경기,43207,,
2020,50대,경기,62813,,
2020,60대,경기,57556,,
2020,70대,경기,53036,,
2020,80대,경기,48537,,
2020,90대,경기,10207,,
2020,"100세
이상",경기,306,,
2020,"나이
미입력",경기,1,,
2020,"10세
미만",강원,1706,,
2020,10대,강원,2318,,
2020,20대,강원,4549,,
2020,30대,강원,4386,,
2020,40대,강원,6670,,
2020,50대,강원,11078,,
2020,60대,강원,11435,,
2020,70대,강원,11538,,
2020,80대,강원,10958,,
2020,90대,강원,2457,,
2020,"100세
이상",강원,92,,
2020,"나이
미입력",강원,2,,
2020,"10세
미만",충북,1409,,
2020,10대,충북,2166,,
2020,20대,충북,4208,,
2020,30대,충북,4224,,
2020,40대,충북,5789,,
2020,50대,충북,9574,,
2020,60대,충북,9953,,
2020,70대,충북,9378,,
2020,80대,충북,9607,,
2020,90대,충북,1849,,
2020,"100세
이상",충북,69,,
2020,"나이
미입력",충북,0,,
2020,"10세
미만",충남,2690,,
2020,10대,충남,2953,,
2020,20대,충남,6517,,
2020,30대,충남,7138,,
2020,40대,충남,8882,,
2020,50대,충남,13365,,
2020,60대,충남,12825,,
2020,70대,충남,13616,,
2020,80대,충남,14019,,
2020,90대,충남,2563,,
2020,"100세
이상",충남,88,,
2020,"나이
미입력",충남,14,,
2020,"10세
미만",전북,1664,,
2020,10대,전북,2572,,
2020,20대,전북,4415,,
2020,30대,전북,4292,,
2020,40대,전북,6753,,
2020,50대,전북,10887,,
2020,60대,전북,12005,,
2020,70대,전북,13703,,
2020,80대,전북,12578,,
2020,90대,전북,2180,,
2020,"100세
이상",전북,70,,
2020,"나이
미입력",전북,0,,
2020,"10세
미만",전남,1489,,
2020,10대,전남,2521,,
2020,20대,전남,4146,,
2020,30대,전남,4367,,
2020,40대,전남,7555,,
2020,50대,전남,12170,,
2020,60대,전남,12887,,
2020,70대,전남,15058,,
2020,80대,전남,14266,,
2020,90대,전남,2606,,
2020,"100세
이상",전남,84,,
2020,"나이
미입력",전남,0,,
2020,"10세
미만",경북,2212,,
2020,10대,경북,3180,,
2020,20대,경북,5878,,
2020,30대,경북,6368,,
2020,40대,경북,9085,,
2020,50대,경북,14514,,
2020,60대,경북,16575,,
2020,70대,경북,16646,,
2020,80대,경북,15914,,
2020,90대,경북,2740,,
2020,"100세
이상",경북,98,,
2020,"나이
미입력",경북,1,,
2020,"10세
미만",경남,1941,,
2020,10대,경남,2454,,
2020,20대,경남,4303,,
2020,30대,경남,5469,,
2020,40대,경남,8489,,
2020,50대,경남,12561,,
2020,60대,경남,13282,,
2020,70대,경남,12930,,
2020,80대,경남,12035,,
2020,90대,경남,2180,,
2020,"100세
이상",경남,59,,
2020,"나이
미입력",경남,0,,
2020,"10세
미만",창원,762,,
2020,10대,창원,922,,
2020,20대,창원,1858,,
2020,30대,창원,2156,,
2020,40대,창원,3050,,
2020,50대,창원,4378,,
2020,60대,창원,4643,,
2020,70대,창원,3769,,
2020,80대,창원,3072,,
2020,90대,창원,508,,
2020,"100세
이상",창원,15,,
2020,"나이
미입력",창원,0,,
2020,"10세
미만",제주,1163,,
2020,10대,제주,1272,,
2020,20대,제주,2906,,
2020,30대,제주,2873,,
2020,40대,제주,4073,,
2020,50대,제주,5787,,
2020,60대,제주,4805,,
2020,70대,제주,4692,,
2020,80대,제주,4505,,
2020,90대,제주,1221,,
2020,"100세
이상",제주,59,,
2020,"나이
미입력",제주,0,,
